ticker,ccp,tag
acfn,CY2010,"86               ContractsRevenue
1409              SalesRevenueNet
500       SalesRevenueServicesNet
75      TechnologyServicesRevenue
Name: (acfn, CY2010), dtype: object"
acfn,CY2011,"105            ContractsRevenue
959                    Revenues
1601            SalesRevenueNet
575     SalesRevenueServicesNet
Name: (acfn, CY2011), dtype: object"
acfn,CY2012,"108            ContractsRevenue
2656                   Revenues
1492            SalesRevenueNet
552     SalesRevenueServicesNet
Name: (acfn, CY2012), dtype: object"
acfn,CY2013,"94             ContractsRevenue
241            ProfessionalFees
2463                   Revenues
1409            SalesRevenueNet
529     SalesRevenueServicesNet
Name: (acfn, CY2013), dtype: object"
acfn,CY2014,"79            ContractsRevenue
234           ProfessionalFees
813                   Revenues
500    SalesRevenueServicesNet
Name: (acfn, CY2014), dtype: object"
acfn,CY2015,"70            ContractsRevenue
752                   Revenues
450    SalesRevenueServicesNet
Name: (acfn, CY2015), dtype: object"
acgln,CY2008,"12     InsuranceCommissionsAndFees
44             InvestmentIncomeNet
363                       Revenues
Name: (acgln, CY2008), dtype: object"
acgln,CY2009,"51      InsuranceCommissionsAndFees
146             InvestmentIncomeNet
1167                       Revenues
Name: (acgln, CY2009), dtype: object"
acgln,CY2010,"75      InsuranceCommissionsAndFees
207             InvestmentIncomeNet
2078                       Revenues
Name: (acgln, CY2010), dtype: object"
acgln,CY2011,"84      InsuranceCommissionsAndFees
244             InvestmentIncomeNet
1259                       Revenues
Name: (acgln, CY2011), dtype: object"
acgln,CY2012,"81      InsuranceCommissionsAndFees
232             InvestmentIncomeNet
2499                       Revenues
Name: (acgln, CY2012), dtype: object"
acgln,CY2013,"74      InsuranceCommissionsAndFees
209             InvestmentIncomeNet
2308                       Revenues
Name: (acgln, CY2013), dtype: object"
acgln,CY2014,"64      InsuranceCommissionsAndFees
188             InvestmentIncomeNet
1049                       Revenues
Name: (acgln, CY2014), dtype: object"
acgln,CY2015,"50     InsuranceCommissionsAndFees
161            InvestmentIncomeNet
968                       Revenues
Name: (acgln, CY2015), dtype: object"
acgln,CY2016,"44      InsuranceCommissionsAndFees
139             InvestmentIncomeNet
1090                       Revenues
Name: (acgln, CY2016), dtype: object"
acgln,CY2017,"43      InsuranceCommissionsAndFees
122             InvestmentIncomeNet
1155                       Revenues
Name: (acgln, CY2017), dtype: object"
acgln,CY2018,"34     InsuranceCommissionsAndFees
103            InvestmentIncomeNet
989                       Revenues
Name: (acgln, CY2018), dtype: object"
acgln,CY2019,"61     InsuranceCommissionsAndFees
100            InvestmentIncomeNet
813                       Revenues
Name: (acgln, CY2019), dtype: object"
acgln,CY2020,"51     InsuranceCommissionsAndFees
97             InvestmentIncomeNet
744                       Revenues
Name: (acgln, CY2020), dtype: object"
